epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7292.3,1.05894,0.93068,1.30719,0.79492,0.74714,0.79262,0.53965,1.14091,1.00834,1.31324,0.005842,0.005842,0.005842
44,7458.07,1.06086,0.92515,1.30929,0.77684,0.76322,0.79046,0.53919,1.14189,0.99167,1.31313,0.005743,0.005743,0.005743
45,7623.58,1.0603,0.9242,1.30841,0.7829,0.75801,0.7997,0.54451,1.13064,0.98843,1.30567,0.005644,0.005644,0.005644
46,7789.44,1.05547,0.92607,1.30786,0.78229,0.7571,0.79772,0.54329,1.12657,0.98434,1.29722,0.005545,0.005545,0.005545
47,7955.19,1.05688,0.91419,1.30518,0.78272,0.76156,0.79994,0.5461,1.1234,0.96927,1.2945,0.005446,0.005446,0.005446
48,8121.4,1.0467,0.90933,1.29478,0.8003,0.75698,0.80082,0.54674,1.12517,0.9757,1.29642,0.005347,0.005347,0.005347
49,8287.2,1.04506,0.89953,1.29587,0.77681,0.76895,0.79926,0.54662,1.13108,0.98717,1.30189,0.005248,0.005248,0.005248
50,8452.74,1.0464,0.90005,1.29497,0.77439,0.77351,0.79557,0.54454,1.12302,0.98467,1.29492,0.005149,0.005149,0.005149
51,8618.52,1.04594,0.89512,1.29161,0.76165,0.78145,0.79333,0.54549,1.12102,0.98256,1.29215,0.00505,0.00505,0.00505
52,8783.96,1.03618,0.88845,1.29014,0.78182,0.77566,0.7983,0.54811,1.11926,0.98111,1.29196,0.004951,0.004951,0.004951
53,8949.99,1.03313,0.87512,1.28267,0.78031,0.78042,0.80175,0.5515,1.11711,0.97984,1.29017,0.004852,0.004852,0.004852
54,9116.14,1.03647,0.88742,1.29324,0.80082,0.77027,0.80106,0.55068,1.11787,0.97902,1.29147,0.004753,0.004753,0.004753
55,9281.98,1.03541,0.8791,1.28373,0.79465,0.77631,0.80317,0.55229,1.12078,0.97705,1.29282,0.004654,0.004654,0.004654
